scenario_id,scenario_type,target_name,target_col,model_name,forecast_origin,horizon,target_mae,target_rmse,target_smape,raw_capacity_mae,raw_capacity_rmse,raw_capacity_smape,includes_eol,true_eol_cycle,true_rul
pre_01_o182_h20,pre_eol_rolling,capacity_roll_median_7,capacity_roll_median_7,RidgeRegression,182,20,0.015196995813208953,0.015742535246751066,0.015075072765529185,0.013488545838460115,0.01476997358797976,0.013380501363717812,False,546,364
pre_01_o182_h20,pre_eol_rolling,capacity_roll_median_7,capacity_roll_median_7,RandomForestRegressor,182,20,0.007441816961324876,0.007936262726177638,0.00735054795926855,0.007404787785072464,0.008012449292401427,0.007320233690276426,False,546,364
pre_01_o182_h30,pre_eol_rolling,capacity_raw,capacity_raw,Persistence,182,30,0.011531062991437491,0.016508161532231516,0.011267591252930264,0.011531062991437491,0.016508161532231516,0.011267591252930264,False,546,364
pre_01_o182_h30,pre_eol_rolling,capacity_raw,capacity_raw,MovingAverage,182,30,0.021389746518856743,0.026371005806484712,0.021069621921248564,0.021389746518856743,0.026371005806484712,0.021069621921248564,False,546,364
pre_01_o182_h30,pre_eol_rolling,capacity_raw,capacity_raw,RidgeRegression,182,30,0.02860399619977044,0.03258447797530527,0.028316390465236086,0.02860399619977044,0.03258447797530527,0.028316390465236086,False,546,364
pre_01_o182_h30,pre_eol_rolling,capacity_raw,capacity_raw,RandomForestRegressor,182,30,0.04729230917388364,0.05397078758572882,0.047461096083271315,0.04729230917388364,0.05397078758572882,0.047461096083271315,False,546,364
pre_01_o182_h30,pre_eol_rolling,capacity_ewm_span_9,capacity_ewm_span_9,Persistence,182,30,0.014665069649334147,0.017111782131231504,0.014511829441858562,0.019999934422409327,0.025092684763726954,0.019679788378047226,False,546,364
pre_01_o182_h30,pre_eol_rolling,capacity_ewm_span_9,capacity_ewm_span_9,MovingAverage,182,30,0.02000284350943374,0.021860067894446434,0.019860168518096123,0.025047905705835077,0.02947119121318146,0.024737718822455724,False,546,364
pre_01_o182_h30,pre_eol_rolling,capacity_ewm_span_9,capacity_ewm_span_9,RidgeRegression,182,30,0.02291281832480269,0.0245688759679242,0.022787887745648137,0.027957880521204025,0.03199020026613573,0.02766515311756268,False,546,364
pre_01_o182_h30,pre_eol_rolling,capacity_ewm_span_9,capacity_ewm_span_9,RandomForestRegressor,182,30,0.018400867662455845,0.02037314309637399,0.018252271301169097,0.02344592985885718,0.02811227996786619,0.023129970885385712,False,546,364
pre_01_o182_h30,pre_eol_rolling,capacity_roll_median_7,capacity_roll_median_7,Persistence,182,30,0.008093427402985073,0.01251729669973924,0.007925295631279706,0.012014614540311098,0.016956458795688297,0.011744355421385614,False,546,364
pre_01_o182_h30,pre_eol_rolling,capacity_roll_median_7,capacity_roll_median_7,MovingAverage,182,30,0.01279597414136351,0.017416472634214114,0.012587386841810844,0.016676176814766134,0.021970693564854083,0.016365377929346045,False,546,364
pre_01_o182_h30,pre_eol_rolling,capacity_roll_median_7,capacity_roll_median_7,RidgeRegression,182,30,0.017689705630404597,0.021315980933860574,0.01746953366819475,0.020631835224867254,0.02572566020543364,0.020311453051865477,False,546,364
pre_01_o182_h30,pre_eol_rolling,capacity_roll_median_7,capacity_roll_median_7,RandomForestRegressor,182,30,0.010384627980630712,0.015053287994163373,0.01019186021753382,0.014305815117956736,0.019666794668442338,0.014010764770475054,False,546,364
pre_02_o292_h10,pre_eol_rolling,capacity_raw,capacity_raw,Persistence,292,10,0.004974756824420013,0.006093929705359813,0.005068842775863413,0.004974756824420013,0.006093929705359813,0.005068842775863413,False,546,254
pre_02_o292_h10,pre_eol_rolling,capacity_raw,capacity_raw,MovingAverage,292,10,0.005870836219061459,0.006531737893908655,0.005980570077779255,0.005870836219061459,0.006531737893908655,0.005980570077779255,False,546,254
pre_02_o292_h10,pre_eol_rolling,capacity_raw,capacity_raw,RidgeRegression,292,10,0.0066270557064676775,0.007502445349036723,0.006748334750953713,0.0066270557064676775,0.007502445349036723,0.006748334750953713,False,546,254
pre_02_o292_h10,pre_eol_rolling,capacity_raw,capacity_raw,RandomForestRegressor,292,10,0.005652311904479091,0.006547262805600988,0.0057585417780592315,0.005652311904479091,0.006547262805600988,0.0057585417780592315,False,546,254
pre_02_o292_h10,pre_eol_rolling,capacity_ewm_span_9,capacity_ewm_span_9,Persistence,292,10,0.002049954608952187,0.00243316275858286,0.0020873770892390216,0.00555974426179442,0.00619769891415371,0.005664324415500267,False,546,254
pre_02_o292_h10,pre_eol_rolling,capacity_ewm_span_9,capacity_ewm_span_9,MovingAverage,292,10,0.005586818000226046,0.005931753062401937,0.0056756945479424035,0.007459286550432908,0.0086968810472982,0.007591620661950104,False,546,254
pre_02_o292_h10,pre_eol_rolling,capacity_ewm_span_9,capacity_ewm_span_9,RidgeRegression,292,10,0.004658254378139892,0.005084291886804745,0.004734927248034488,0.006946678145130369,0.00807772265318232,0.0070723079444535725,False,546,254
pre_02_o292_h10,pre_eol_rolling,capacity_ewm_span_9,capacity_ewm_span_9,RandomForestRegressor,292,10,0.0059218629982155215,0.00625938653190546,0.006014823640452057,0.007462955058585486,0.008894371828032151,0.007595312773967694,False,546,254
pre_02_o292_h10,pre_eol_rolling,capacity_roll_median_7,capacity_roll_median_7,Persistence,292,10,0.0015945958386623716,0.002002313259343102,0.0016296078710360065,0.004960509144655134,0.00585748399179085,0.005054293328974916,False,546,254
pre_02_o292_h10,pre_eol_rolling,capacity_roll_median_7,capacity_roll_median_7,MovingAverage,292,10,0.004908968123816448,0.0050561339519941345,0.005006685161574908,0.005474822155020131,0.006120532045457459,0.005577951673968049,False,546,254
pre_02_o292_h10,pre_eol_rolling,capacity_roll_median_7,capacity_roll_median_7,RidgeRegression,292,10,0.010236509305630137,0.01037986974824099,0.010410935021384848,0.008317853281460308,0.009595728600793227,0.008460385905372169,False,546,254
pre_02_o292_h10,pre_eol_rolling,capacity_roll_median_7,capacity_roll_median_7,RandomForestRegressor,292,10,0.004247161971384172,0.004416436041768717,0.004333270539447686,0.005258068926567705,0.0059225235120861225,0.005357408069369016,False,546,254
pre_02_o292_h20,pre_eol_rolling,capacity_raw,capacity_raw,Persistence,292,20,0.005580589598499608,0.00626408793788131,0.0056900319031214655,0.005580589598499608,0.00626408793788131,0.0056900319031214655,False,546,254
